22:26:41:502 [ALWAYS]	GUDE Logging Started
22:26:41:502 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:26:41:502 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:26:41:502 [ERROR]	Initialize resume cache pointer failure
22:26:41:502 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
22:26:41:502 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
22:26:42:764 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
22:26:42:764 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:26:42:764 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:26:42:764 [ERROR]	Initialize resume cache pointer failure
22:26:42:765 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
22:26:42:765 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
